reaction,server_x,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds,server_y,converged,error,best_ts_method,branch,execution_time
rxn_1366,Zeus,C#C[C]=C,C#CCC#C,9,0,0,False,3,1,3,Zeus,True,,heuristics,qchem,9755.0
rxn_1019,Zeus,C[C](S)C,C=CC,6,0,0,False,4,1,0,Zeus,True,,heuristics,qchem,7697.0
rxn_1098,Zeus,[CH]=C,C=CC(C)C,7,0,0,False,3,2,0,Zeus,False,Could not determine likely TS conformer,,qchem,5961.0
rxn_1619,Zeus,C=CC,C[CH]c1ccccc1,11,0,0,True,3,1,0,Zeus,True,,heuristics,gaussian_unconverge_trsh,22960.0
rxn_156,Zeus,[Cl],CCCCOC(C)=O,6,0,2,False,6,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,66983.0
rxn_819,Zeus,[H][H],C[C](C#C)S,4,0,0,False,4,0,1,Zeus,False,Could not determine likely TS conformer,,qchem,31981.0
rxn_1561,Zeus,CC(C)c1ccccc1,C[C]=S,11,0,0,False,4,1,0,Zeus,True,,heuristics,zeus_run,179718.0
rxn_1316,Zeus,C#CC(C)C,C[CH]c1ccccc1,13,0,0,True,5,0,1,Zeus,True,,autotst,qchem,62312.0
rxn_177,Zeus,C=CC=C,[CH]=C,6,0,0,False,1,3,0,Zeus,False,Could not determine likely TS conformer,,qchem,7050.0
rxn_143,Zeus,[Cl],CCO,2,0,1,False,2,0,0,Zeus,True,TS did not pass all checks,heuristics,qchem,703.0
rxn_1438,Zeus,[CH2]C=C,Cc1ccccc1,10,0,0,True,2,1,0,Zeus,True,,heuristics,qchem,20968.0
rxn_415,Zeus,C=CC,CC(C)C[O],7,0,1,False,5,1,0,Zeus,True,,heuristics,qchem,24960.0
rxn_618,Zeus,C=[C]C=C,C1CCC2CCCC2C1,13,0,0,False,11,2,0,Zeus,True,,heuristics,qchem,78261.0
rxn_1292,Zeus,C#CCC,S[CH]C#C,7,0,0,False,4,0,2,Zeus,True,,heuristics,qchem,9858.0
rxn_991,Zeus,C[C]=S,CC(C)C,6,0,0,False,4,1,0,Zeus,True,,heuristics,qchem,10695.0
rxn_65,Zeus,[N]=C=N,[OH],1,2,1,False,0,2,0,Zeus,False,Could not determine likely TS conformer,,qchem,2010.0
rxn_624,Zeus,[H],[NH2],0,1,0,False,0,0,0,Zeus,True,,heuristics,qchem,256.0
rxn_1016,Zeus,C#C[C]=C,C=CC,7,0,0,False,2,2,1,Zeus,True,,heuristics,qchem,4423.0
rxn_89,Zeus,CS,[H],1,0,0,False,1,0,0,Zeus,True,,heuristics,qchem,337.0
rxn_575,Zeus,[c]1ccccc1,C1CC2CCCC2C1,14,0,0,False,9,0,0,Zeus,False,Could not determine likely TS conformer,,qchem,441892.0
rxn_179,Zeus,C=CC=C,[c]1ccccc1,10,0,0,True,1,2,0,Zeus,True,,heuristics,qchem,21750.0
rxn_910,Zeus,[CH3],CCC,4,0,0,False,2,0,0,Zeus,True,,heuristics,qchem,1759.0
rxn_286,Zeus,[H][H],[OH],0,0,1,False,1,0,0,Zeus,True,,autotst,qchem,1397.0
rxn_1914,Zeus,CC(S)C,C=C[C](C)C,8,0,0,False,6,1,0,Zeus,True,,heuristics,gauss_trsh_cleanup,33077.0
rxn_138,Zeus,[Cl],CC=O,2,0,1,False,1,1,0,Zeus,False,Could not determine likely TS conformer,,qchem,1673.0
rxn_277,Zeus,c1ccccc1,[OH],6,0,1,False,0,0,0,Zeus,True,,autotst,qchem,10178.0
