TS,Optimization,Jobs,Status
TS0,Optimization 0,['opt_a85626'],
TS0,Optimization a85626,[],FAILED
TS0,Optimization 2,['opt_a85627'],
TS0,Optimization a85627,[],FAILED
TS0,Optimization 4,['opt_a85706'],
TS0,Optimization a85706,[],FAILED
TS0,Optimization 6,['opt_a85726'],
TS0,Optimization 7,['opt_a85747'],
TS0,Optimization 8,['opt_a85756'],
TS0,Optimization 9,['opt_a85626'],
TS0,Optimization 10,['opt_a85627'],
TS0,Optimization 11,['opt_a85706'],
TS0,Optimization 12,['opt_a85726'],
TS0,Optimization 13,['opt_a85747'],
TS0,Optimization 14,['opt_a85756'],
