reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rmg_rxn_0,RMG,CC[NH],[CH2]C#CC,6,1,0,False,4,0,1
rmg_rxn_1,RMG,[NH]N,[CH2]C#CC,4,2,0,False,3,0,1
rmg_rxn_2,RMG,[N]N,CC[NH],2,3,0,False,3,0,0
rmg_rxn_3,RMG,[CH]CC,CC#CC,7,0,0,False,4,0,1
rmg_rxn_4,RMG,CC[NH],[CH]CC,5,1,0,False,4,0,0
rmg_rxn_5,RMG,[NH]N,[CH]CC,3,2,0,False,3,0,0
rmg_rxn_6,RMG,CCN=O,[CH]CC,5,1,1,False,4,1,0
rmg_rxn_7,RMG,[N]N,CCN=O,2,3,1,False,3,1,0
rmg_rxn_8,RMG,CC[N],CCN=O,4,2,1,False,4,1,0
rmg_rxn_9,RMG,CCN=O,[CH2]C#CC,6,1,1,False,4,1,1
rmg_rxn_10,RMG,CC[S],CCN=O,4,1,1,False,4,1,0
rmg_rxn_11,RMG,CCS,[CH2]C#CC,6,0,0,False,4,0,1
rmg_rxn_12,RMG,CC[S],CC[NH],4,1,0,False,4,0,0
rmg_rxn_13,RMG,[N]N,CCS,2,2,0,False,3,0,0
rmg_rxn_14,RMG,CCS,[CH]CC,5,0,0,False,4,0,0
rmg_rxn_15,RMG,[CH]CC,CCSCC,7,0,0,False,6,0,0
rmg_rxn_16,RMG,[NH]N,[CH2]CSCC,4,2,0,False,5,0,0
rmg_rxn_17,RMG,CC[NH],[CH2]CSCC,6,1,0,False,6,0,0
rmg_rxn_18,RMG,CC#CC,[CH2]CSCC,8,0,0,False,6,0,1
rmg_rxn_19,RMG,CCS,[CH2]CSCC,6,0,0,False,6,0,0
rmg_rxn_20,RMG,CCN=O,[CH2]CSCC,6,1,1,False,6,1,0
rmg_rxn_21,RMG,[CH]CC,CCCC,7,0,0,False,5,0,0
rmg_rxn_22,RMG,[NH]N,C[CH]CC,4,2,0,False,4,0,0
rmg_rxn_23,RMG,CC[NH],C[CH]CC,6,1,0,False,5,0,0
rmg_rxn_24,RMG,CC#CC,C[CH]CC,8,0,0,False,5,0,1
