reaction,server,converged,error,best_ts_method,branch,execution_time
rxn_1366,Zeus,True,,heuristics,qchem,9755
rxn_1019,Zeus,True,,heuristics,qchem,7697
rxn_1098,Zeus,False,Could not determine likely TS conformer,,qchem,5961
rxn_1619,Zeus,True,,heuristics,gaussian_unconverge_trsh,22960
rxn_156,Zeus,False,Could not determine likely TS conformer,,qchem,66983
rxn_819,Zeus,False,Could not determine likely TS conformer,,qchem,31981
rxn_1561,Zeus,True,,heuristics,zeus_run,179718
rxn_1316,Zeus,True,,autotst,qchem,62312
rxn_177,Zeus,False,Could not determine likely TS conformer,,qchem,7050
rxn_143,Zeus,True,TS did not pass all checks,heuristics,qchem,703
rxn_1438,Zeus,True,,heuristics,qchem,20968
rxn_415,Zeus,True,,heuristics,qchem,24960
rxn_618,Zeus,True,,heuristics,qchem,78261
rxn_1292,Zeus,True,,heuristics,qchem,9858
rxn_991,Zeus,True,,heuristics,qchem,10695
rxn_65,Zeus,False,Could not determine likely TS conformer,,qchem,2010
rxn_624,Zeus,True,,heuristics,qchem,256
rxn_1016,Zeus,True,,heuristics,qchem,4423
rxn_89,Zeus,True,,heuristics,qchem,337
rxn_575,Zeus,False,Could not determine likely TS conformer,,qchem,441892
rxn_179,Zeus,True,,heuristics,qchem,21750
rxn_910,Zeus,True,,heuristics,qchem,1759
rxn_286,Zeus,True,,autotst,qchem,1397
rxn_1914,Zeus,True,,heuristics,gauss_trsh_cleanup,33077
rxn_138,Zeus,False,Could not determine likely TS conformer,,qchem,1673
rxn_277,Zeus,True,,autotst,qchem,10178
rxn_1071,Zeus,True,,heuristics,qchem,16427
rxn_300,Zeus,True,,heuristics,qchem,5432
rxn_849,Zeus,True,,heuristics,qchem,4265
rxn_331,Zeus,True,,heuristics,qchem,3285
rxn_1037,Zeus,True,,heuristics,qchem,4289
rxn_99,Zeus,True,,heuristics,qchem,1706
rxn_1502,Zeus,True,,heuristics,qchem,47653
rxn_780,Zeus,True,,heuristics,qchem,2513
rxn_1342,Zeus,True,,heuristics,qchem,14957
rxn_350,Zeus,False,Could not determine likely TS conformer,,qchem,2566
rxn_407,Zeus,True,,heuristics,qchem,15078
