reaction,server,reactant1,reactant2,no_of_carbon,no_of_nitrogen,no_of_oxygen,aromatic_exist,no_of_sgbonds,no_of_dbbonds,no_of_tpbonds
rxn_1366,Zeus,C#C[C]=C,C#CCC#C,9,0,0,False,3,1,3
rxn_1019,Zeus,C[C](S)C,C=CC,6,0,0,False,4,1,0
rxn_1098,Zeus,[CH]=C,C=CC(C)C,7,0,0,False,3,2,0
rxn_1619,Zeus,C=CC,C[CH]c1ccccc1,11,0,0,True,3,1,0
rxn_156,Zeus,[Cl],CCCCOC(C)=O,6,0,2,False,6,1,0
rxn_819,Zeus,[H][H],C[C](C#C)S,4,0,0,False,4,0,1
rxn_1561,Zeus,CC(C)c1ccccc1,C[C]=S,11,0,0,False,4,1,0
rxn_1316,Zeus,C#CC(C)C,C[CH]c1ccccc1,13,0,0,True,5,0,1
rxn_177,Zeus,C=CC=C,[CH]=C,6,0,0,False,1,3,0
rxn_143,Zeus,[Cl],CCO,2,0,1,False,2,0,0
rxn_1438,Zeus,[CH2]C=C,Cc1ccccc1,10,0,0,True,2,1,0
rxn_415,Zeus,C=CC,CC(C)C[O],7,0,1,False,5,1,0
rxn_618,Zeus,C=[C]C=C,C1CCC2CCCC2C1,13,0,0,False,11,2,0
rxn_1292,Zeus,C#CCC,S[CH]C#C,7,0,0,False,4,0,2
rxn_991,Zeus,C[C]=S,CC(C)C,6,0,0,False,4,1,0
rxn_65,Zeus,[N]=C=N,[OH],1,2,1,False,0,2,0
rxn_624,Zeus,[H],[NH2],0,1,0,False,0,0,0
rxn_1016,Zeus,C#C[C]=C,C=CC,7,0,0,False,2,2,1
rxn_89,Zeus,CS,[H],1,0,0,False,1,0,0
rxn_575,Zeus,[c]1ccccc1,C1CC2CCCC2C1,14,0,0,False,9,0,0
rxn_179,Zeus,C=CC=C,[c]1ccccc1,10,0,0,True,1,2,0
rxn_910,Zeus,[CH3],CCC,4,0,0,False,2,0,0
rxn_286,Zeus,[H][H],[OH],0,0,1,False,1,0,0
rxn_1914,Zeus,CC(S)C,C=C[C](C)C,8,0,0,False,6,1,0
rxn_138,Zeus,[Cl],CC=O,2,0,1,False,1,1,0
rxn_277,Zeus,c1ccccc1,[OH],6,0,1,False,0,0,0
rxn_1071,Zeus,C[C](C=S)S,C=CCC,7,0,0,False,5,2,0
rxn_300,Zeus,C[O],CCC,4,0,1,False,3,0,0
rxn_849,Zeus,C[C](S)C,C,4,0,0,False,3,0,0
rxn_331,Zeus,[CH2]O,CCC,4,0,1,False,3,0,0
rxn_1037,Zeus,C=CC,C=C[C]=S,6,0,0,False,2,3,0
rxn_99,Zeus,[NH2],C=CC,3,1,0,False,1,1,0
rxn_1502,Zeus,[CH2]C=S,CCc1ccccc1,10,0,0,True,3,1,0
rxn_780,Zeus,OO,C[CH]O,2,0,3,False,3,0,0
rxn_1342,Zeus,C#CC(C)C,S[C]=S,6,0,0,False,4,1,1
rxn_350,Zeus,[OH],C=CC,3,0,1,False,1,1,0
rxn_407,Zeus,CC(C)CO,C[CH]C,7,0,1,False,6,0,0
rxn_212,Zeus,CC,[OH],2,0,1,False,1,0,0
rxn_1204,Zeus,S[CH]C#C,C=CC(C)C=C,9,0,0,False,5,2,1
rxn_581,Zeus,[CH2]C=C,C1CCC2CCCC2C1,12,0,0,False,11,1,0
rxn_1387,Zeus,C#CCC#C,C=C[C]=S,8,0,0,False,3,2,2
rxn_1637,Zeus,C[C](C#C)S,C=CC,7,0,0,False,4,1,1
rxn_328,Zeus,CO,[CH3],2,0,1,False,1,0,0
rxn_582,Zeus,C=C[CH]C,C1CCC2CCCC2C1,13,0,0,False,12,1,0
rxn_15,Zeus,C=C(C)C,CC(C)C[O],8,0,1,False,6,1,0
rxn_378,Zeus,O,[O][O],0,0,3,False,1,0,0
rxn_1889,Zeus,CCS,C[CH]C=S,5,0,0,False,4,1,0
rxn_1169,Zeus,[H],C=CC(C)C=C,6,0,0,False,3,2,0
rxn_943,Zeus,S[CH]C#C,CCC,6,0,0,False,4,0,1
rxn_1278,Zeus,C#C[C]=C,C#CCC,8,0,0,False,3,1,2
rxn_1121,Zeus,C=CC(C)C,C[C]=S,7,0,0,False,4,2,0
rxn_1897,Zeus,S[CH]C#C,CCS,5,0,0,False,4,0,1
rxn_738,Zeus,C=CC,C1C[C]2CCCC2C1,11,0,0,False,10,1,0
rxn_878,Zeus,C#C[CH]C#C,CC,7,0,0,False,3,0,2
