RXN,RUN,SUCCESS,CHECKED,MOVED,ERROR
rmg_rxn_0,False,False,False,False,False
rmg_rxn_1,False,False,False,True,False
rmg_rxn_2,False,False,False,True,False
rmg_rxn_3,False,False,False,True,False
rmg_rxn_4,False,False,False,True,False
rmg_rxn_5,False,False,False,True,False
rmg_rxn_6,False,False,False,True,False
rmg_rxn_7,False,False,False,True,False
rmg_rxn_8,False,False,False,True,False
rmg_rxn_9,False,False,False,True,False
rmg_rxn_10,False,False,False,True,False
rmg_rxn_11,False,False,False,True,False
rmg_rxn_12,False,False,False,True,False
rmg_rxn_13,False,False,False,True,False
rmg_rxn_14,False,False,False,True,False
rmg_rxn_15,False,False,False,True,False
rmg_rxn_16,False,False,False,True,False
rmg_rxn_17,False,False,False,True,False
rmg_rxn_18,False,False,False,True,False
rmg_rxn_19,False,False,False,True,False
rmg_rxn_20,False,False,False,True,False
rmg_rxn_21,False,False,False,True,False
rmg_rxn_22,False,False,False,True,False
rmg_rxn_23,False,False,False,True,False
rmg_rxn_24,False,False,False,True,False
rmg_rxn_25,False,False,False,True,False
rmg_rxn_26,False,False,False,True,False
rmg_rxn_27,False,False,False,True,False
rmg_rxn_28,False,False,False,True,False
rmg_rxn_29,False,False,False,True,False
rmg_rxn_30,False,False,False,True,False
rmg_rxn_31,False,False,False,True,False
rmg_rxn_32,False,False,False,True,False
rmg_rxn_33,False,False,False,True,False
rmg_rxn_34,False,False,False,True,False
rmg_rxn_35,False,False,False,True,False
rmg_rxn_36,False,False,False,True,False
rmg_rxn_37,False,False,False,True,False
rmg_rxn_38,False,False,False,True,False
rmg_rxn_39,False,False,False,True,False
rmg_rxn_40,False,False,False,True,False
rmg_rxn_41,False,False,False,True,False
rmg_rxn_42,False,False,False,True,False
rmg_rxn_43,False,False,False,True,False
rmg_rxn_44,False,False,False,True,False
rmg_rxn_45,False,False,False,True,False
rmg_rxn_46,False,False,False,True,False
rmg_rxn_47,False,False,False,True,False
rmg_rxn_48,False,False,False,True,False
rmg_rxn_49,False,False,False,True,False
rmg_rxn_50,False,False,False,True,False
rmg_rxn_51,False,False,False,True,False
rmg_rxn_52,False,False,False,True,False
rmg_rxn_53,False,False,False,True,False
rmg_rxn_54,False,False,False,True,False
rmg_rxn_55,False,False,False,True,False
rmg_rxn_56,False,False,False,True,False
rmg_rxn_57,False,False,False,True,False
rmg_rxn_58,False,False,False,True,False
rmg_rxn_59,False,False,False,True,False
rmg_rxn_60,False,False,False,True,False
rmg_rxn_61,False,False,False,True,False
rmg_rxn_62,False,False,False,True,False
rmg_rxn_63,False,False,False,True,False
rmg_rxn_64,False,False,False,True,False
rmg_rxn_65,False,False,False,True,False
rmg_rxn_66,False,False,False,True,False
rmg_rxn_67,False,False,False,True,False
rmg_rxn_68,False,False,False,True,False
rmg_rxn_69,False,False,False,True,False
rmg_rxn_70,False,False,False,True,False
rmg_rxn_71,False,False,False,True,False
rmg_rxn_72,False,False,False,True,False
rmg_rxn_73,False,False,False,True,False
rmg_rxn_74,False,False,False,True,False
rmg_rxn_75,False,False,False,True,False
rmg_rxn_76,False,False,False,True,False
rmg_rxn_77,False,False,False,True,False
rmg_rxn_78,False,False,False,True,False
rmg_rxn_79,False,False,False,True,False
rmg_rxn_80,False,False,False,True,False
rmg_rxn_81,False,False,False,True,False
rmg_rxn_82,False,False,False,True,False
rmg_rxn_83,False,False,False,True,False
rmg_rxn_84,False,False,False,True,False
rmg_rxn_85,False,False,False,True,False
rmg_rxn_86,False,False,False,True,False
rmg_rxn_87,False,False,False,True,False
rmg_rxn_88,False,False,False,True,False
rmg_rxn_89,False,False,False,True,False
rmg_rxn_90,False,False,False,True,False
rmg_rxn_91,False,False,False,True,False
rmg_rxn_92,False,False,False,True,False
rmg_rxn_93,False,False,False,True,False
rmg_rxn_94,False,False,False,True,False
rmg_rxn_95,False,False,False,True,False
rmg_rxn_96,False,False,False,True,False
rmg_rxn_97,False,False,False,True,False
rmg_rxn_98,False,False,False,True,False
rmg_rxn_99,False,False,False,True,False
rmg_rxn_100,False,False,False,True,False
rmg_rxn_101,False,False,False,True,False
rmg_rxn_102,False,False,False,True,False
rmg_rxn_103,False,False,False,True,False
rmg_rxn_104,False,False,False,True,False
rmg_rxn_105,False,False,False,True,False
rmg_rxn_106,False,False,False,True,False
rmg_rxn_107,False,False,False,True,False
rmg_rxn_108,False,False,False,True,False
rmg_rxn_109,False,False,False,True,False
rmg_rxn_110,False,False,False,True,False
rmg_rxn_111,False,False,False,True,False
rmg_rxn_112,False,False,False,True,False
rmg_rxn_113,False,False,False,True,False
rmg_rxn_114,False,False,False,True,False
rmg_rxn_115,False,False,False,True,False
rmg_rxn_116,False,False,False,True,False
rmg_rxn_117,False,False,False,True,False
rmg_rxn_118,False,False,False,True,False
rmg_rxn_119,False,False,False,True,False
rmg_rxn_120,False,False,False,True,False
rmg_rxn_121,False,False,False,True,False
rmg_rxn_122,False,False,False,True,False
rmg_rxn_123,False,False,False,True,False
rmg_rxn_124,False,False,False,True,False
rmg_rxn_125,False,False,False,True,False
rmg_rxn_126,False,False,False,True,False
rmg_rxn_127,False,False,False,True,False
rmg_rxn_128,False,False,False,True,False
rmg_rxn_129,False,False,False,True,False
rmg_rxn_130,False,False,False,True,False
rmg_rxn_131,False,False,False,True,False
rmg_rxn_132,False,False,False,True,False
rmg_rxn_133,False,False,False,True,False
rmg_rxn_134,False,False,False,True,False
rmg_rxn_135,False,False,False,True,False
rmg_rxn_136,False,False,False,True,False
rmg_rxn_137,False,False,False,True,False
rmg_rxn_138,False,False,False,True,False
rmg_rxn_139,False,False,False,True,False
rmg_rxn_140,False,False,False,True,False
rmg_rxn_141,False,False,False,True,False
rmg_rxn_142,False,False,False,True,False
rmg_rxn_143,False,False,False,True,False
rmg_rxn_144,False,False,False,True,False
rmg_rxn_145,False,False,False,True,False
rmg_rxn_146,False,False,False,True,False
rmg_rxn_147,False,False,False,True,False
rmg_rxn_148,False,False,False,True,False
rmg_rxn_149,False,False,False,True,False
rmg_rxn_150,False,False,False,True,False
rmg_rxn_151,False,False,False,True,False
rmg_rxn_152,False,False,False,True,False
rmg_rxn_153,False,False,False,True,False
rmg_rxn_154,False,False,False,True,False
rmg_rxn_155,False,False,False,True,False
rmg_rxn_156,False,False,False,True,False
rmg_rxn_157,False,False,False,True,False
rmg_rxn_158,False,False,False,True,False
rmg_rxn_159,False,False,False,True,False
rmg_rxn_160,False,False,False,True,False
rmg_rxn_161,False,False,False,True,False
rmg_rxn_162,False,False,False,True,False
rmg_rxn_163,False,False,False,True,False
rmg_rxn_164,False,False,False,True,False
rmg_rxn_165,False,False,False,True,False
rmg_rxn_166,False,False,False,True,False
rmg_rxn_167,False,False,False,True,False
rmg_rxn_168,False,False,False,True,False
rmg_rxn_169,False,False,False,True,False
rmg_rxn_170,False,False,False,True,False
rmg_rxn_171,False,False,False,True,False
rmg_rxn_172,False,False,False,True,False
rmg_rxn_173,False,False,False,True,False
rmg_rxn_174,False,False,False,True,False
rmg_rxn_175,False,False,False,True,False
rmg_rxn_176,False,False,False,True,False
rmg_rxn_177,False,False,False,True,False
rmg_rxn_178,False,False,False,True,False
rmg_rxn_179,False,False,False,True,False
rmg_rxn_180,False,False,False,True,False
rmg_rxn_181,False,False,False,True,False
rmg_rxn_182,False,False,False,True,False
rmg_rxn_183,False,False,False,True,False
rmg_rxn_184,False,False,False,True,False
rmg_rxn_185,False,False,False,True,False
rmg_rxn_186,False,False,False,True,False
rmg_rxn_187,False,False,False,True,False
rmg_rxn_188,False,False,False,True,False
rmg_rxn_189,False,False,False,True,False
rmg_rxn_190,False,False,False,True,False
rmg_rxn_191,False,False,False,True,False
rmg_rxn_192,False,False,False,True,False
rmg_rxn_193,False,False,False,True,False
rmg_rxn_194,False,False,False,True,False
rmg_rxn_195,False,False,False,True,False
rmg_rxn_196,False,False,False,True,False
rmg_rxn_197,False,False,False,True,False
rmg_rxn_198,False,False,False,True,False
